Model,ROC_AUC,Accuracy,Precision,Recall,F1_Score
Gradient Boosting,0.9521822495206527,0.8867924528301887,0.797153024911032,0.8517110266159695,0.8235294117647058
Stacking Ensemble,0.9519872607325078,0.8785377358490566,0.7962962962962963,0.8174904942965779,0.8067542213883677
Voting Ensemble,0.9502973579019206,0.8915094339622641,0.8086642599277978,0.8517110266159695,0.8296296296296296
Random Forest,0.9488089434857496,0.8832547169811321,0.7907801418439716,0.8479087452471483,0.818348623853211
Logistic Regression,0.9483669688992883,0.8797169811320755,0.8285714285714286,0.7718631178707225,0.7992125984251969
Extra Trees,0.9419973351532286,0.8761792452830188,0.8015267175572519,0.7984790874524715,0.8
Naive Bayes,0.9398622079230444,0.8761792452830188,0.7705479452054794,0.8555133079847909,0.8108108108108109
SVM,0.9347307529817035,0.8856132075471698,0.8217054263565892,0.8060836501901141,0.8138195777351248
K-Neighbors,0.9179129700042248,0.875,0.79182156133829,0.8098859315589354,0.8007518796992481
Decision Tree,0.8012999252542978,0.8254716981132075,0.7106227106227107,0.7376425855513308,0.7238805970149254
